region_idx,region_name,mean_Controls,mean_Coma,U_statistic,p_value,fdr_sig
141,G_Occipital_Inf-1-R,31.6,33.4615,144.0,0.6185609713645354,False
142,G_Occipital_Inf-2-L,41.45,33.9231,159.5,0.28498617307559726,False
143,G_Occipital_Inf-2-R,43.85,50.1538,117.0,0.6449021075073634,False
144,G_Insula-anterior-1-L,3.85,14.6923,107.0,0.38337549819942207,False
145,G_Insula-anterior-1-R,3.55,13.2308,93.0,0.16786269457790826,False
146,G_Insula-anterior-2-L,7.4,23.0769,89.5,0.1363511660919619,False
147,G_Insula-anterior-2-R,7.5,12.9231,110.0,0.4631356116089368,False
148,G_Insula-anterior-3-L,14.0,15.6923,144.0,0.6185021920231535,False
149,G_Insula-anterior-3-R,16.6,21.6923,124.0,0.8392167963188358,False
150,G_Insula-anterior-4-L,33.4,25.3077,170.5,0.14038244294558969,False
151,G_Insula-anterior-4-R,23.7,18.8462,179.0,0.07366008021833256,False
152,G_Insula-anterior-5-L,23.85,22.1538,157.0,0.3281976368269569,False
153,G_Insula-anterior-5-R,29.2,27.0,142.5,0.658157431412123,False
154,G_Insula-posterior-1-L,35.35,19.1538,201.0,0.00930202090681303,False
155,G_Insula-posterior-1-R,25.5,16.6923,188.0,0.03401140863703609,False
156,G_Rolandic_Oper-1-L,28.9,18.3846,177.5,0.08299921108473698,False
157,G_Rolandic_Oper-1-R,24.0,13.3846,199.0,0.011553724775467818,False
158,G_Rolandic_Oper-2-L,40.25,16.8462,211.5,0.0028210308871537398,True
159,G_Rolandic_Oper-2-R,26.6,21.8462,154.0,0.3858682590939173,False
160,G_Temporal_Sup-1-L,20.3,19.3846,144.5,0.605773918257412,False
161,G_Temporal_Sup-1-R,23.95,21.0,158.5,0.3019237059101697,False
162,G_Temporal_Sup-2-L,14.1,13.6154,157.0,0.3278731643947286,False
163,G_Temporal_Sup-2-R,15.65,13.3077,166.0,0.18921631575175346,False
164,G_Temporal_Sup-3-L,52.05,20.3846,226.5,0.0004024316311149824,True
165,G_Temporal_Sup-3-R,47.25,20.2308,221.5,0.0007895450150651011,True
166,G_Temporal_Sup-4-L,25.95,18.0,164.0,0.21664189391118027,False
167,G_Temporal_Sup-4-R,18.9,14.4615,136.5,0.8248850874600822,False
168,S_Sup_Temporal-1-L,7.35,10.6154,94.0,0.1817620708061337,False
169,S_Sup_Temporal-1-R,3.2,6.0769,117.0,0.6083646087249417,False
170,S_Sup_Temporal-2-L,10.0,13.7692,98.0,0.24379344371402623,False
171,S_Sup_Temporal-2-R,21.15,22.5385,81.5,0.07668074027458496,False
172,S_Sup_Temporal-3-L,16.0,21.9231,96.0,0.2164879607274125,False
173,S_Sup_Temporal-3-R,22.25,15.6923,162.0,0.24494344159909742,False
174,S_Sup_Temporal-4-L,21.3,28.6923,114.0,0.5668747856559588,False
175,S_Sup_Temporal-4-R,24.8,26.6154,132.0,0.9559010058027654,False
176,S_Sup_Temporal-5-L,23.85,19.9231,155.5,0.3564375429135499,False
177,S_Sup_Temporal-5-R,20.75,18.0,141.0,0.6986202776884365,False
178,G_Temporal_Mid-1-L,14.85,15.6923,137.0,0.8096184771216338,False
179,G_Temporal_Mid-1-R,8.7,14.1538,128.5,0.9702546603398224,False
